correct sentences,incorrect sentences
गौतम बुद्ध की शिक्षाओं पर आधारित बौद्ध धर्म ने मध्यम वर्ग के अनुयायिओं को छोड़कर अन्य सभी वर्ग के लोगों को आकर्षित किया; इसी काल में भारत का इतिहास लेखन प्रारम्भ हुआ।,गौतम बुद्ध की शिक्षाओं पर आधारित बौद् धर्म ने मध्यम वर्ग के अनुयायिओं को छोड़कर अन्य सभी वर्ग के लोगों को आकर्षित किया; इसी काल में भारत का इतिहास लेखन प्रारम्भ हुआ।
मगध ने दक्षिण भारत के कुछ हिस्सों को छोड़कर पूरे भारत पर अपना अधिपत्य स्थापित कर लिया लेकिन कुछ अन्य प्रमुख बड़े राज्यों ने इसके प्रमुख क्षेत्रों को अलग कर लिया।,मगध ने दक्षि भारत के कुछ हिस्सों को छोड़कर पूरे भारत पर अपना अधिपत्य स्थापित कर लिया लेकिन कुछ अन्य प्रमुख बड़े राज्यों ने इसके प्रमुख क्षेत्रों को अलग कर लिया।
मौर्य राजाओं को उनके साम्राज्य की उन्नति के लिए तथा उच्च जीवन सतर के लिए जाना जाता है क्योंकि सम्राट अशोक ने बौद्ध धम्म की स्थापना की तथा शस्त्र मुक्त सेना का निर्माण किया।,मौर्य राजाओं को उनके साम्राज्य की उन्नति के लिए तथा उच्च जवन सतर के लिए जाना जाता है क्योंकि सम्राट अशोक ने बौद्ध धम्म की स्थापना की तथा शस्त्र मुक्त सेना का निर्माण किया।
"एक सौ अस्सी  ईसवी के आरम्भ से मध्य एशिया से कई आक्रमण हुए, जिनके परिणामस्वरूप उत्तर भारतीय उपमहाद्वीप में यूनानी, शक, पार्थी और अंततः कुषाण राजवंश स्थापित हुए।","एक सौ अस्सी  ईसवी के आरम्भ से मध्य एशिया से कई आक्रमण हुए, जिनके परिणामस्वरूप उत्तर भारतीय उपमहाद्वीप में यूनी, शक, पार्थी और अंततः कुषाण राजवंश स्थापित हुए।"
गुप्त साम्राज्य में भक्ति पर आधारित हिन्दू धर्म का प्रचलन हुई।,गुप्त साम्राज्य में भक्ति पर आधारित हिन्द धर्म का प्रचलन हुई।
"विज्ञान, कला, साहित्य, गणित, खगोलशास्त्र, प्राचीन प्रौद्योगिकी, धर्म, तथा दर्शन इन्हीं राजाओं के शासनकाल में फले-फूले, जो शास्त्रीय संस्कृत में रचा गया।","विज्ञान, कला, साहित्य, गणित, खगोलशास्त्र, प्राचीन प्रौद्योगिकी, धर्म, तथा दर्न इन्हीं राजाओं के शासनकाल में फले-फूले, जो शास्त्रीय संस्कृत में रचा गया।"
छह सौ से बारह सौ के बीच का समय क्षेत्रीय राज्यों में सांस्कृतिक उत्थान के युग के रूप में जाना जाता है।,छह सौ से बारह सौ के बीच का समय क्षेत्रय राज्यों में सांस्कृतिक उत्थान के युग के रूप में जाना जाता है।
"जब चालुक्यों ने दक्षिण की और विस्तार करने का प्रयास किया तो पल्ल्वों ने उन्हें पराजित कर दिया, जिनका सुदूर दक्षिण में पांड्यों तथा चोलों द्वारा उनका विरोध किया जा रहा था।","जब चालुक्यों ने दक्षिण की और विस्तार करने का प्रयास किया तो पल्ल्वों ने उन्हें पराजत कर दिया, जिनका सुदूर दक्षिण में पांड्यों तथा चोलों द्वारा उनका विरोध किया जा रहा था।"
इस काल में कोई भी शासक एक साम्राज्य बनाने में सक्षम नहीं था और लगातार मूल भूमि की तुलना में दुसरे क्षेत्र की ओर आगे बढ़ने का क्रम जारी था।,इस काल में कोई भी शासक एक साम्राज्य बनाने में सक्षम नहीं था और लगातार मूल भमि की तुलना में दुसरे क्षेत्र की ओर आगे बढ़ने का क्रम जारी था।
इस अवधि में नये शासन के कारण जाति में बांटे गए सामान्य कृषकों के लिए कृषि करना और सहज हो गया।,इस अवधि में नये शासन के कारण जाति में बांटे गए सामान्य कषकों के लिए कृषि करना और सहज हो गया।
जाति व्यवस्था के परिणामस्वरूप स्थानीय मतभेद होने लगे।,जाति व्यवस्था के परिणामस्वरूप स्थानीय मतभद होने लगे।
पहली भक्ति भजन तमिल भाषा में बनाया गया था।,पहली भक्ति भजन तमिल भष में बनाया गया था।
पूरे भारत में उनकी नकल की गई और हिंदू धर्म के पुनरुत्थान और इसने उपमहाद्वीप की सभी आधुनिक भाषाओं के विकास का नेतृत्व किया।,पूरे भारत में उनकी नकल की गई और हिंदू धर् के पुनरुत्थान और इसने उपमहाद्वीप की सभी आधुनिक भाषाओं के विकास का नेतृत्व किया।
राजघरानो ने लोगों को राजधानी की आकर्षित किया। शहरीकरण के साथ शहरों में बड़े स्तर पर मंदिरों का निर्माण किया।,राजघरानो ने लोगों को राजधानी की आकर्षित किया। शहरीकरण के साथ शहरों में बड़े स्तर पर मंदरों का निर्माण किया।
"दक्षिण भारत की राजनीतिक और सांस्कृतिक व्यवस्था का प्रभाव दक्षिण एशिया के देशों म्यांमार, थाईलैंड, लाओस, कंबोडिया, वियतनाम, फिलीपींस, मलेशिया और जावा में देखा जा सकता है।","दक्षिण भारत की राजनीतिक और सांस्कतक व्यवस्था का प्रभाव दक्षिण एशिया के देशों म्यांमार, थाईलैंड, लाओस, कंबोडिया, वियतनाम, फिलीपींस, मलेशिया और जावा में देखा जा सकता है।"
"दसवीं शताब्दी के बाद घुमन्तु मुस्लिम वंशों ने जातियता तथा धर्म द्वारा संघठित तेज घोड़ों से युक्त बड़ी सेना के द्वारा उत्तर-पश्चिमी मैदानों पर बार बार आकर्मण किया, अंततः इस्लामीक दिल्ली सल्तनत की स्थापना हुई।","दसवीं शताब्दी के बाद घुमन्तु मस्लम वंशों ने जातियता तथा धर्म द्वारा संघठित तेज घोड़ों से युक्त बड़ी सेना के द्वारा उत्तर-पश्चिमी मैदानों पर बार बार आकर्मण किया, अंततः इस्लामीक दिल्ली सल्तनत की स्थापना हुई।"
उन्हें उतर भारत को अधिक नियंत्रित करना था तथा दक्षिण भारत पर आकर्मण करना था।,उन्हें उतर भारत को अधिक नियंत्रित करना था तथा दक्षिण भारत पर कर्मण करना था।
भारतीय कुलीन वर्ग के विघटनकारी सल्तनत ने बड़े पैमाने पर गैर-मुस्लिमों को स्वयं के रीतिरिवाजों पर छोड़ दिया।,भारतीय कुलीन वर्ग के विघटनकारी सल्तनत ने बड़े पैमाने पर गैर-मुस्लिमों को स्वयं के रीतिवजों पर छोड़ दिया।
तेरहवीं शताब्दी में मंगोलों द्वारा किये के विनाशकारी आकर्मण से भारत की रक्षा की।,तेरहवीं शताब्दी में मंगोलों द्वारा किये के विनाकारी आकर्मण से भारत की रक्षा की।
सल्तनत के पतन के कारण स्वशासित विजयनगर साम्राज्य का मार्ग प्रशस्त हुआ।,सल्तनत के पतन के कारण स्वशासित विजयनगर साम्ज्य का मार्ग प्रशस्त हुआ।
एक मजबूत शैव परंपरा और सल्तनत की सैन्य तकनीक पर निर्माण करते हुए साम्राज्य ने भारत के विशाल भाग पर शासन किया और इसके बाद लंबे समय तक दक्षिण भारतीय समाज को प्रभावित किया।,एक मजबूत शैव परंपरा और सल्तनत की सैन्य तकनीक पर निर्मा करते हुए साम्राज्य ने भारत के विशाल भाग पर शासन किया और इसके बाद लंबे समय तक दक्षिण भारतीय समाज को प्रभावित किया।
"सत्रहवीं शताब्दी के मध्यकाल में पुर्तगाल, डच, फ्रांस, ब्रिटेन सहित अनेक यूरोपीय देशों, जो भारत से व्यापार करने के इच्छुक थे, उन्होंने देश की आतंरिक शासकीय अराजकता का फायदा उठाया हालांकि अंग्रेजों ने व्यापार करने के बहाने से देश में आए और आंतरिक विद्रोह करवाने की कोशिश की ताकि वे आपस में लड़ाई करवाकर भारतीयों को कमजोर कर सकें ।","सत्रहवीं शताब्दी के मध्यकाल में पुर्तगाल, डच, फ्रांस, ब्रिटेन सहित अनेक यूरोपीय देशों, जो भारत से व्यापार करने के इच्छुक थे, उन्होंने देश की आतंरिक शासकीय अराजकता का फायदा उठाया हालांकि अंग्रजो ने व्यापार करने के बहाने से देश में आए और आंतरिक विद्रोह करवाने की कोशिश की ताकि वे आपस में लड़ाई करवाकर भारतीयों को कमजोर कर सकें ।"
इसमें वे कामयाब हुए और अठारह सौ चालीस तक लगभग संपूर्ण देश पर शासन करने में सफल हुए।,इसमें वे कामयब हुए और अठारह सौ चालीस तक लगभग संपूर्ण देश पर शासन करने में सफल हुए।
वास्तव में ये शासन की दृष्टि से नहीं आए बल्कि वे देश की भोलीभाली जनता को लूटना चाहते थे।,वास्तव में ये शासन की दृष्टि से नहीं आए बल्कि वे देश की भोलीभल जनता को लूटना चाहते थे।
क्योंकि भारत देश में बाहर से आया हर कोई मेहमान होता है और उसे वे देवता का दर्जा देते हैं ।,क्योंकि भारत देश में बाहर से आया हर कोई मेमान होता है और उसे वे देवता का दर्जा देते हैं ।
इसी का फायदा अंग्रेजों ने उठाया और धीरे धीरे आंतरिक अशांति इस प्रकार फैलाई की सबसे पहले यहां की शिक्षा व्यवस्था को बदला जो की दुनियां में सबसे अच्छी व्यवस्था थी ।,इसी का फायदा अंग्रेजों ने उठाया और धीरे धीरे आंतरिक अशात इस प्रकार फैलाई की सबसे पहले यहां की शिक्षा व्यवस्था को बदला जो की दुनियां में सबसे अच्छी व्यवस्था थी ।
और वर्ण व्यवस्था को जाती वाद में बदल दिया गया ।,और वर्ण व्यवस्था को जती वाद में बदल दिया गया ।
मुस्लिम धर्म वालों को धक्के से गाय माता की हत्या करवाने में लगा दिया।,मुस्लिम धर्म वालों को धक्क से गाय माता की हत्या करवाने में लगा दिया।
"और फिर हिंदुओं को बोला की देखो आपके मुस्लिम भाई , आपकी माता की हत्या कर रहे हैं।","और फिर हिंदुओं को बोला की देखो आपके मुस्लम भाई , आपकी माता की हत्या कर रहे हैं।"
ये तो आपके भाई कहलाने के लायक भी नहीं है ।,ये तो आपके भई कहलाने के लायक भी नहीं है।
इस प्रकार देखते ही देखते दंगा फैला दिया ।,इस प्रकार देखते ही देखते दग फैला दिया ।
"लेकिन अठारह सौ सत्तावन में ब्रिटिश ईस्ट इंडिया कम्पनी के विरुद्ध असफल विद्रोह, जो भारतीय स्वतन्त्रता के प्रथम संग्राम से भी जाना जाता है, के बाद भारत का अधिकांश भाग सीधे अंग्रेजी शासन के प्रशासनिक नियंत्रण में आ गया।","लेकिन अठारह सौ सत्तावन में ब्रिटिश ईस्ट इंडिया कम्पनी के विरुद्ध असफल वद्रोह, जो भारतीय स्वतन्त्रता के प्रथम संग्राम से भी जाना जाता है, के बाद भारत का अधिकांश भाग सीधे अंग्रेजी शासन के प्रशासनिक नियंत्रण में आ गया।"
बीसवी सदी के प्रारम्भ में आधुनिक शिक्षा के प्रसार और विश्वपटल पर बदलती राजनीतिक परिस्थितियों के चलते भारत में एक बौद्धिक आन्दोलन का सूत्रपात हुआ जिसने सामाजिक और राजनीतिक स्तरों पर अनेक परिवर्तनों एवम आन्दोलनों की नीव रखी।,बीसवी सदी के प्रारम्भ में आधुनिक शिक्षा के प्रसार और विश्पटल पर बदलती राजनीतिक परिस्थितियों के चलते भरत में एक बौद्धिक आन्दोलन का सूत्रपात हुआ जिसने सामाजिक और राजनीतिक स्तरों पर अनेक परिवर्तनों एवम आन्दोलनों की नीव रखी।
भारतीय राष्ट्रीय कांग्रेस की स्थापना ने स्वतन्त्रता आन्दोलन को एक गतिमान स्वरूप दिया।,भारतीय राष्ट्रीय कांग्रेस की स्थापना ने स्वतन्त्रता आलन को एक गतिमान स्वरूप दिया।
"बीसवीं शताब्दी के प्रारंभ में लम्बे समय तक स्वतंत्रता प्राप्ति के लिये विशाल अहिंसावादी संघर्ष चला, जिसका नेतृत्‍व महात्मा गांधी, जो आधिकारिक रूप से आधुनिक भारत के 'राष्ट्रपिता' के रूप में संबोधित किये जाते हैं, इसी सदी में भारत के सामाजिक आन्दोलन, जो सामाजिक स्वतंत्रता प्राप्ति के लिए भी विशाल अहिंसावादी एवं क्रांतिवादी संघर्ष चला, जिसका नेतृत्व डॉ॰ बाबासाहेब आंबेडकर ने किया, जो ‘आधुनिक भारत के निर्माता’, ‘संविधान निर्माता' एवं ‘दलितों के मसिहा’ के रूप में संबोधित किये जाते है।","बीसवीं शताब्दी के प्रारंभ में लम्बे समय तक स्वतंत्रता प्राप्ति के लिये विशाल अहिंसावादी संघर्ष चला, जिसका नेतृत्‍व महात्मा गांधी, जो आधिकारिक रूप से आधुनिक भारत के 'राष्ट्रपता' के रूप में संबोधित किये जाते हैं, इसी सदी में भारत के सामाजिक आन्दोलन, जो सामाजिक स्वतंत्रता प्राप्ति के लिए भी विशाल अहिंसावादी एवं क्रांतिवादी संघर्ष चला, जिसका नेतृत्व डॉ॰ बाबासाहेब आंबेडकर ने किया, जो ‘आधुनिक भारत के निर्माता’, ‘संविधान निर्माता' एवं ‘दलितों के मसिहा’ के रूप में संबोधित किये जाते है।"
"इसके साथ-साथ चंद्रशेखर आजाद, सरदार भगत सिंह, सुखदेव, राजगुरू, नेताजी सुभाष चन्द्र बोस, आदि के नेतृत्‍व में चले क्रांतिकारी संघर्ष के फलस्वरुप पन्द्रह अगस्त, सौ सत्तावन उन्नीस भारत ने अंग्रेजी शासन से पूर्णतः स्वतंत्रता प्राप्त की।","इसके साथ-साथ चंद्रशेखर आजाद, सरदार भगत सिंह, सुखदेव, राजगुरू, नेताजी सुभाष चन्द्र बोस, आदि के नेतृत्‍व में चले क्रातकारी संघर्ष के फलस्वरुप पन्द्रह अगस्त, सौ सत्तावन उन्नीस भारत ने अंग्रेजी शासन से पूर्णतः स्वतंत्रता प्राप्त की।"
एक बहुजातीय तथा बहुधार्मिक राष्ट्र होने के कारण भारत को समय-समय पर साम्प्रदायिक तथा जातीय विद्वेष का शिकार होना पड़ा है।,एक बहुजातीय तथा बहुधार्मिक राष्ट्र होने के कारण भरत को समय-समय पर साम्प्रदायिक तथा जातीय विद्वेष का शिकार होना पड़ा है।
भारत के पड़ोसी राष्ट्रों के साथ अनसुलझे सीमा विवाद हैं।,भारत के पड़ोसी राष्ट्रों के साथ अनसुलझे सीमा ववाद हैं।
इसके कारण इसे छोटे पैमानों पर युद्ध का भी सामना करना पड़ा है।,इसके कारण इसे छोटे पैमानों पर युद् का भी सामना करना पड़ा है।
भारत गुटनिरपेक्ष आन्दोलन तथा संयुक्त राष्ट्र संघ के संस्थापक सदस्य देशों में से एक है।,भारत गुटनिरपेक्ष आन्दोलन तथा संयुक्त रष्ट संघ के संस्थापक सदस्य देशों में से एक है।
"भारत का संविधान भारत को एक संप्रभु, समाजवादी, धर्मनिरपेक्ष, लोकतान्त्रिक गणराज्य घोषित करता है।","भारत का संविधान भारत को एक संप्रभु, समाजवादी, धर्निरपेक्ष, लोकतान्त्रिक गणराज्य घोषित करता है।"
"भारत एक लोकतांत्रिक गणराज्य है, जिसकी द्विसदनात्मक संसद वेस्टमिन्स्टर शैली की संसदीय प्रणाली द्वारा संचालित है।","भारत एक लोकतांत्रिक गणराज्य है, जिसकी द्विसदनात्मक संस वेस्टमिन्स्टर शैली की संसदीय प्रणाली द्वारा संचालित है।"
"भारत का प्रशासन संघीय ढांचे के अन्तर्गत चलाया जाता है, जिसके अनुसार राष्ट्रीय स्तर पर केंद्र सरकार और राज्य स्तर पर राज्य सरकारें हैं।","भारत का प्रशासन संघीय ढांचे के अन्तर्गत चलाया जाता है, जिसके अनुसार राष्ट्रय स्तर पर केंद्र सरकार और राज्य स्तर पर राज्य सरकारें हैं।"
केंद्र और राज्य सरकारों के बीच शक्तियों का बंटवारा संविधान में दी गई रूपरेखा के आधार पर होता है।,केंद्र और राज्य सरकारों के बीच शक्तियों का बंटवर संविधान में दी गई रूपरेखा के आधार पर होता है।
"राज्यसभा एक स्थाई सदन है और इसके सदस्यों का चुनाव, अप्रत्यक्ष विधि से छह वर्षों के लिये होता है।","राज्यसभा एक स्थाई सदन है और इसके सदस्यों का चुनाव, अप्रक्ष विधि से छह वर्षों के लिये होता है।"
"राज्यसभा के ज़्यादातर सदस्यों का चयन राज्यों की विधानसभाओं के सदस्यों द्वारा किया जाता है, और हर दूसरे साल राज्य सभा के एक तिहाई सदस्य पदमुक्त हो जाते हैं। लोकसभा के पाँच सौ तैंतालीस सदस्यों का चुनाव प्रत्यक्ष विधि से, पाँच वर्षों की अवधि के लिये आम चुनावों के माध्यम से किया जाता है जिनमें अठारह वर्ष से अधिक उम्र के सभी भारतीय नागरिक मतदान कर सकते हैं।","राज्यसभा के ज़्यादातर सदस्यों का चयन राज्यों की विधानसभाओं के सदस्यों द्वारा किया जाता है, और हर दूसरे साल राज्य सभा के एक तिहाई सदस्य पदमुक्त हो जाते हैं। लोकसभा के पाँच सौ तैंतालीस सदस्यों का चुनाव प्रत्यक्ष विधि से, पाँच वर्षों की अवधि के लिये आम चुनावों के माध्यम से किया जाता है जिनमें अठारह वर्ष से अधिक उम्र के सभी भारतय नागरिक मतदान कर सकते हैं।"
राष्ट्रपति और उपराष्ट्रपति को एक अप्रत्यक्ष मतदान विधि द्वारा पाँच वर्षों के लिये चुना जाता है।,राष्ट्रपति और उपराष्ट्रपति को एक अप्रत्यक्ष मदान विधि द्वारा पाँच वर्षों के लिये चुना जाता है।
 प्रधानमन्त्री सरकार का प्रमुख है और कार्यपालिका की सारी शक्तियाँ उसी के पास होती हैं।, प्रधानमन्त्री सरकार का प्रमख है और कार्यपालिका की सारी शक्तियाँ उसी के पास होती हैं।
इसका चुनाव राजनैतिक पार्टियों या गठबन्धन के द्वारा प्रत्यक्ष विधि से संसद में बहुमत प्राप्त करने पर होता है।,इसका चुनाव राजनैतिक पार्टियों या गठन्धन के द्वारा प्रत्यक्ष विधि से संसद में बहुमत प्राप्त करने पर होता है।
बहुमत बने रहने की स्थिति में इसका कार्यकाल पाँच वर्षों का होता है।,बहुमत बने रहने की स्थत में इसका कार्यकाल पाँच वर्षों का होता है।
संविधान में किसी उप-प्रधानमंत्री का प्रावधान नहीं है पर समय-समय पर इसमें फेरबदल होता रहा है।,संविधान में किसी उप-प्रधानमंत्री का प्रवधन नहीं है पर समय-समय पर इसमें फेरबदल होता रहा है।
मंत्रिमंडल का प्रमुख प्रधानमंत्री होता है।,मंत्रिमंडल का प्रमुख प्रधामंत्री होता है।
मंत्रिमंडल के प्रत्येक मंत्री को संसद का सदस्य होना अनिवार्य है।,मंत्रिमंडल के प्रत्येक मंत्री को सद का सदस्य होना अनिवार्य है।
"कार्यपालिका संसद को उत्तरदायी होती है, और प्रधानमंत्री और उनका मंत्रिमण्डल लोक सभा में बहुमत के समर्थन के आधार पर ही अपने कार्यालय में बने रह सकते हैं।","कार्यपालिका संसद को उत्तरदायी होती है, और प्रधानमंत्री और उनका मंत्रिमण्ल लोक सभा में बहुमत के समर्थन के आधार पर ही अपने कार्यालय में बने रह सकते हैं।"
"भारत की स्वतंत्र न्यायपालिका का ढाँचा त्रिस्तरीय है, जिसमें सर्वोच्च न्यायालय, जिसके प्रधान प्रधान न्यायाधीश है|","भारत की स्वतंत्र न्यायपालिका का ढाँचा त्रिस्तरीय है, जिसमें सर्वोच्च न्यलय, जिसके प्रधान प्रधान न्यायाधीश है|"
"सर्वोच्च न्यायालय को अपने मूल न्यायाधिकार (ओरिजिनल ज्युरिडिक्शन), और उच्च न्यायालयों के ऊपर अपीलीय न्यायाधिकार के मामलों, दोनो को देखने का अधिकार है।","सर्वोच्च न्यायालय को अपने मूल न्यायाधिकार (ओरिजिनल ज्युरिडिक्शन), और उच्च न्याययों के ऊपर अपीलीय न्यायाधिकार के मामलों, दोनो को देखने का अधिकार है।"
"सर्वोच्च न्यायालय के मूल न्ययाधिकार में मौलिक अधिकारों के हनन के इलावा राज्यों और केंद्र, और दो या दो से अधिक राज्यों के बीच के विवाद आते हैं।","सर्वोच्च न्यायालय के मूल न्ययाधिकार में मौलिक अधिरों के हनन के इलावा राज्यों और केंद्र, और दो या दो से अधिक राज्यों के बीच के विवाद आते हैं।"
सर्वोच्च न्यायालय को राज्य और केंद्रीय कानूनों को असंवैधानिक ठहराने के अधिकार है।,सर्वोच्च न्यायालय को राज्य और केंद्रीय कानूनों को अवैधानिक ठहराने के अधिकार है।
भारत विश्व का सबसे बड़ा लोकतंत्र है।,भरत विश्व का सबसे बड़ा लोकतंत्र है।
"बहुदलीय प्रणाली वाले इस संसदीय गणराज्य में छ: मान्यता-प्राप्त राष्ट्रीय पार्टियां, और चालीस से भी ज़्यादा क्षेत्रीय पार्टियां हैं।","बहुदलीय प्रणाली वाले इस संसदीय गराज्य में छ: मान्यता-प्राप्त राष्ट्रीय पार्टियां, और चालीस से भी ज़्यादा क्षेत्रीय पार्टियां हैं।"
मनमोहन सिंह की गठबन्धन सरकार का सबसे बड़ा हिस्सा कॉंग्रेस पार्टी का था।,मनमोहन सिंह की गठबन्धन सरका का सबसे बड़ा हिस्सा कॉंग्रेस पार्टी का था।
दशक के अन्त तक कॉंग्रेस का संसद में निरंतर बहुमत रहा। पर तब से राजनैतिक पटल पर भाजपा और कॉंग्रेस को अन्य पार्टियों के साथ सत्ता बांटनी पडी है।,दशक के अन्त तक कॉंग्रेस का संसद में निरंतर बहुमत रहा। पर तब से राजनैक पटल पर भाजपा और कॉंग्रेस को अन्य पार्टियों के साथ सत्ता बांटनी पडी है।
गणराज्य के पहले तीन चुनावों में जवाहरलाल नेहरू के नेतृत्व में कॉंग्रेस ने आसान जीत पाई।,गणराज्य के पहले तीन चुनावों में जवाहरलाल नेहर के नेतृत्व में कॉंग्रेस ने आसान जीत पाई।
"नेहरू की मृत्यु के बाद लाल बहादुर शास्त्री कुछ समय के लिये प्रधानमंत्री बने, और उनकी खुद की मौत के बाद इंदिरा गांधी प्रधानमंत्री बनीं।","नेहरू की मृत्यु के बाद लाल बहार शास्त्री कुछ समय के लिये प्रधानमंत्री बने, और उनकी खुद की मौत के बाद इंदिरा गांधी प्रधानमंत्री बनीं।"
इंदिरा गांधी की हत्या के बाद उनके बेटे राजीव गांधी कॉंग्रेस के नेता और प्रधानमंत्री बने।,इंदिरा गांधी की हत्या के बाद उनके बेटे राजीव गांधी कॉंग्रेस के नेता और प्रधामत्री बने।
"नवगठित जनता दल के नेतृत्व वाले राष्ट्रीय मोर्चा ने वाम मोर्चा के बाहरी समर्थन से सरकार बनाई, जो केवल दो साल चली।","नवगठित जनता दल के नेतृत्व वाले राष्ट्रीय मोर्चा ने वाम मोर्चा के बाहरी समर्न से सरकार बनाई, जो केवल दो साल चली।"
"चुनावों के बाद दो साल तक राजनैतिक उथल पुथल का वक्त रहा, जिसमें कई गठबंधन सरकारें आई और गई।","चुनावों के बाद दो साल तक राजनैक उथल पुथल का वक्त रहा, जिसमें कई गठबंधन सरकारें आई और गई।"
"पहली बार किसी राजनैतिक पार्टी को बहुमत प्राप्त हुआ, और भाजपा ने गुजरात के पूर्व मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में सरकार बनाई।","पहली बार किसी राजनैतिक पार्टी को बहुमत प्राप्त हुआ, और भाप ने गुजरात के पूर्व मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में सरकार बनाई।"
व्यापारी ने चन्द्रकांत को गले लगा लिया और अपना सारा कारोबार उसे सोंप दिया |,व्यापारी ने चन्द्रकांत को गले लगा लिया और अना सारा कारोबार उसे सोंप दिया |
बहुत समय पहले की बात है यूरोप महाद्वीप के जर्मनी देश में एक पति और पत्नी रहा करते थे।,बहुत समय पहले की बात है यूप महाद्वीप के जर्मनी देश में एक पति और पत्नी रहा करते थे।
दोनों का एक दूसरे के सिवा और कोई नहीं था।,दोनों का एक दूरे के सिवा और कोई नहीं था।
विवाह के कई वर्षों उपरांत भी उनकी कोई संतान नहीं हुई।,विवाह के कई वर्षों उरांत भी उनकी कोई संतान नहीं हुई।
"राजनीतिज्ञों के पास जो कार्य करना चाहिए, वह करने कि अनुमति नहीं है .","राजनीतिज्ञों के पास जो कार्य करना चाहिए, वह करने कि अनुति नहीं है ."
"मई आपको ऐसे ही एक बच्चे के बारे में बताना चाहूंगी,","मई आको ऐसे ही एक बच्चे के बारे में बताना चाहूंगी,"
